City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,puerto natales,-51.7236,-72.4875,4.01,77,24,2.13,CL,1731559191
82,hultsfred,57.4882,15.8436,6.26,89,100,1.42,SE,1731559192
83,ribeira grande,38.5167,-28.7,19.32,81,49,3.13,PT,1731559193
84,ovalle,-30.5983,-71.2003,16.23,74,0,0.85,CL,1731559194
85,olonkinbyen,70.9221,-8.7187,-2.44,61,95,8.83,SJ,1731559196
86,santa ana,33.7456,-117.8678,17.18,40,0,0.0,US,1731558931
87,nishinoomote,30.7333,131.0,25.31,83,20,3.09,JP,1731559198
88,mankayan,16.85,120.8,21.65,96,100,2.84,PH,1731559199
89,al bayda,32.7627,21.7551,14.77,47,19,6.56,LY,1731559200
90,saudarkrokur,65.7461,-19.6394,10.15,81,100,10.04,IS,1731559201
91,isafjordur,66.0755,-23.124,6.16,92,100,6.71,IS,1731559202
92,korsakov,46.6328,142.7813,7.91,64,24,5.9,RU,1731559203
93,uturoa,-16.7333,-151.4333,25.72,74,54,8.06,PF,1731559204
94,narasannapeta,18.4167,84.05,29.03,55,75,4.88,IN,1731559205
95,coquimbo,-29.9533,-71.3436,15.85,77,100,2.06,CL,1731558802
96,yellowknife,62.456,-114.3525,-10.71,85,100,2.57,CA,1731559208
97,bilbays,30.4204,31.5622,16.96,75,100,2.46,EG,1731559209
98,udachny,66.4167,112.4,-26.84,95,42,3.31,RU,1731559210
99,port saint john's,-31.6229,29.5448,16.69,82,100,0.85,ZA,1731559212
100,nemuro,43.3236,145.575,6.88,68,44,4.64,JP,1731559213
101,kill devil hills,36.0307,-75.676,13.88,64,75,4.63,US,1731559214
102,al jaradiyah,16.5795,42.9124,28.61,68,6,2.66,SA,1731559216
103,badger,64.8,-147.5333,-23.86,68,40,0.0,US,1731559217
104,cabo san lucas,22.8909,-109.9124,24.86,83,2,1.4,MX,1731559202
105,n'zeto,-7.2312,12.8666,25.31,89,100,3.24,AO,1731559219
106,san patricio,28.017,-97.5169,20.97,24,7,5.65,US,1731559220
107,gamba,-2.65,10.0,24.93,91,100,3.12,GA,1731559221
108,saurimo,-9.6608,20.3916,18.79,82,26,1.4,AO,1731559222
109,krasnokamensk,50.0979,118.0369,-2.41,32,0,3.86,RU,1731559223
110,pisco,-13.7,-76.2167,19.03,82,0,3.6,PE,1731559224
